member_id,join_date,unit,plan,acquisition_channel,age_group,monthly_fee,cancel_date,status,tenure_months,member_key
M100000,2025-08-19,South,Premium,Walk-in,45-54,189.9,,Active,11,1
M100001,2025-10-29,Downtown,Basic,Google Ads,25-34,99.9,,Active,9,2
M100002,2024-06-06,Downtown,Plus,Instagram,35-44,139.9,,Active,26,3
M100003,2026-03-31,East,Plus,Corporate,18-24,139.9,,Active,4,4
M100004,2025-05-06,Downtown,Plus,Organic,25-34,139.9,,Active,15,5
M100005,2025-11-14,Downtown,Basic,Google Ads,35-44,99.9,2026-03-14,Cancelled,4,6
M100006,2025-04-28,West,Plus,Corporate,18-24,139.9,,Active,15,7
M100007,2026-03-17,North,Basic,Walk-in,35-44,99.9,2026-07-17,Cancelled,4,8
M100008,2024-11-01,North,Plus,Google Ads,25-34,139.9,,Active,21,9
M100009,2024-07-26,University,Premium,Walk-in,25-34,189.9,2024-11-26,Cancelled,4,10
M100010,2024-10-29,South,Plus,Instagram,25-34,139.9,,Active,21,11
M100011,2025-11-01,South,Basic,Corporate,25-34,99.9,,Active,9,12
M100012,2025-03-16,East,Basic,Referral,18-24,99.9,,Active,16,13
M100013,2025-08-14,North,Premium,Google Ads,25-34,189.9,,Active,12,14
M100014,2026-03-27,North,Plus,Instagram,18-24,139.9,2026-05-27,Cancelled,2,15
M100015,2024-09-14,South,Basic,Walk-in,45-54,99.9,,Active,23,16
M100016,2026-04-14,University,Basic,Instagram,25-34,99.9,2026-07-14,Cancelled,3,17
M100017,2024-09-14,North,Plus,Organic,25-34,139.9,,Active,23,18
M100018,2024-06-09,University,Basic,Corporate,45-54,99.9,,Active,26,19
M100019,2026-02-04,Downtown,Premium,Google Ads,25-34,189.9,,Active,6,20
M100020,2024-05-11,West,Plus,Referral,25-34,139.9,2025-07-11,Cancelled,14,21
M100021,2024-07-15,North,Plus,Google Ads,45-54,139.9,2025-12-15,Cancelled,17,22
M100022,2024-03-10,East,Plus,Referral,25-34,139.9,,Active,29,23
M100023,2024-12-15,Downtown,Plus,Instagram,25-34,139.9,,Active,19,24
M100024,2025-07-28,Downtown,Plus,Organic,45-54,139.9,,Active,12,25
M100025,2025-01-14,West,Basic,Walk-in,25-34,99.9,2026-07-14,Cancelled,18,26
M100026,2024-02-19,South,Plus,Corporate,35-44,139.9,,Active,29,27
M100027,2024-10-07,West,Plus,Instagram,18-24,139.9,,Active,22,28
M100028,2024-02-09,Downtown,Basic,Instagram,35-44,99.9,,Active,30,29
M100029,2024-11-19,West,Premium,Instagram,18-24,189.9,,Active,20,30
M100030,2026-06-26,East,Basic,Organic,35-44,99.9,,Active,1,31
M100031,2025-11-09,West,Plus,Walk-in,25-34,139.9,,Active,9,32
M100032,2024-09-02,Downtown,Basic,Instagram,45-54,99.9,,Active,23,33
M100033,2024-10-28,University,Premium,Referral,18-24,189.9,,Active,21,34
M100034,2024-02-05,North,Premium,Corporate,35-44,189.9,,Active,30,35
M100035,2025-05-13,South,Premium,Referral,35-44,189.9,,Active,15,36
M100036,2025-06-26,University,Basic,Google Ads,18-24,99.9,,Active,13,37
M100037,2024-04-21,North,Premium,Instagram,45-54,189.9,,Active,27,38
M100038,2024-08-26,East,Premium,Google Ads,35-44,189.9,2024-12-26,Cancelled,4,39
M100039,2025-01-23,West,Premium,Google Ads,25-34,189.9,,Active,18,40
M100040,2024-02-08,South,Premium,Walk-in,45-54,189.9,2026-03-08,Cancelled,25,41
M100041,2025-12-02,East,Basic,Instagram,45-54,99.9,,Active,8,42
M100042,2026-05-30,South,Basic,Instagram,25-34,99.9,,Active,2,43
M100043,2026-02-01,East,Plus,Organic,25-34,139.9,2026-06-01,Cancelled,4,44
M100044,2024-06-15,Downtown,Plus,Google Ads,25-34,139.9,,Active,25,45
M100045,2024-11-13,North,Plus,Referral,35-44,139.9,,Active,21,46
M100046,2024-04-01,University,Basic,Referral,35-44,99.9,,Active,28,47
M100047,2024-08-21,East,Plus,Google Ads,25-34,139.9,,Active,23,48
M100048,2024-11-16,North,Basic,Google Ads,35-44,99.9,,Active,20,49
M100049,2025-10-30,Downtown,Plus,Google Ads,25-34,139.9,,Active,9,50
M100050,2024-12-12,North,Premium,Organic,25-34,189.9,2025-05-12,Cancelled,5,51
M100051,2024-10-10,East,Premium,Instagram,35-44,189.9,,Active,22,52
M100052,2025-03-25,South,Premium,Walk-in,55+,189.9,2025-05-25,Cancelled,2,53
M100053,2024-07-21,North,Plus,Corporate,45-54,139.9,,Active,24,54
M100054,2026-04-07,North,Basic,Instagram,25-34,99.9,,Active,4,55
M100055,2024-11-30,South,Plus,Walk-in,35-44,139.9,,Active,20,56
M100056,2026-02-03,Downtown,Basic,Referral,18-24,99.9,,Active,6,57
M100057,2024-11-17,Downtown,Basic,Referral,25-34,99.9,2026-01-17,Cancelled,14,58
M100058,2026-01-31,University,Basic,Google Ads,25-34,99.9,,Active,6,59
M100059,2024-07-24,University,Basic,Google Ads,18-24,99.9,,Active,24,60
M100060,2025-04-27,West,Basic,Organic,25-34,99.9,,Active,15,61
M100061,2026-06-16,University,Basic,Instagram,45-54,99.9,,Active,1,62
M100062,2025-10-28,Downtown,Plus,Referral,18-24,139.9,2026-05-28,Cancelled,7,63
M100063,2025-06-19,South,Premium,Corporate,25-34,189.9,,Active,13,64
M100064,2024-02-03,Downtown,Basic,Google Ads,35-44,99.9,,Active,30,65
M100065,2026-03-28,West,Basic,Referral,25-34,99.9,2026-05-28,Cancelled,2,66
M100066,2025-09-29,North,Plus,Organic,18-24,139.9,,Active,10,67
M100067,2024-12-26,East,Basic,Google Ads,18-24,99.9,,Active,19,68
M100068,2024-11-12,North,Basic,Instagram,25-34,99.9,,Active,21,69
M100069,2026-03-19,University,Basic,Walk-in,25-34,99.9,,Active,4,70
M100070,2025-08-11,Downtown,Basic,Corporate,35-44,99.9,2026-05-11,Cancelled,9,71
M100071,2025-11-20,South,Premium,Google Ads,25-34,189.9,,Active,8,72
