member_id,unit,plan,monthly_fee,month,is_delinquent,recognized_revenue
M100002,Downtown,Plus,139.9,2025-01-01,0,139.9
M100008,North,Plus,139.9,2025-01-01,0,139.9
M100010,South,Plus,139.9,2025-01-01,0,139.9
M100015,South,Basic,99.9,2025-01-01,0,99.9
M100017,North,Plus,139.9,2025-01-01,0,139.9
M100018,University,Basic,99.9,2025-01-01,0,99.9
M100020,West,Plus,139.9,2025-01-01,0,139.9
M100021,North,Plus,139.9,2025-01-01,0,139.9
M100022,East,Plus,139.9,2025-01-01,0,139.9
M100023,Downtown,Plus,139.9,2025-01-01,0,139.9
M100025,West,Basic,99.9,2025-01-01,0,99.9
M100026,South,Plus,139.9,2025-01-01,0,139.9
M100027,West,Plus,139.9,2025-01-01,0,139.9
M100028,Downtown,Basic,99.9,2025-01-01,0,99.9
M100029,West,Premium,189.9,2025-01-01,0,189.9
M100032,Downtown,Basic,99.9,2025-01-01,0,99.9
M100033,University,Premium,189.9,2025-01-01,0,189.9
M100034,North,Premium,189.9,2025-01-01,0,189.9
M100037,North,Premium,189.9,2025-01-01,1,0.0
M100039,West,Premium,189.9,2025-01-01,0,189.9
M100040,South,Premium,189.9,2025-01-01,0,189.9
M100044,Downtown,Plus,139.9,2025-01-01,0,139.9
M100045,North,Plus,139.9,2025-01-01,0,139.9
M100046,University,Basic,99.9,2025-01-01,0,99.9
M100047,East,Plus,139.9,2025-01-01,0,139.9
M100048,North,Basic,99.9,2025-01-01,0,99.9
M100050,North,Premium,189.9,2025-01-01,0,189.9
M100051,East,Premium,189.9,2025-01-01,0,189.9
M100053,North,Plus,139.9,2025-01-01,1,0.0
M100055,South,Plus,139.9,2025-01-01,0,139.9
M100057,Downtown,Basic,99.9,2025-01-01,0,99.9
M100059,University,Basic,99.9,2025-01-01,0,99.9
M100064,Downtown,Basic,99.9,2025-01-01,0,99.9
M100067,East,Basic,99.9,2025-01-01,0,99.9
M100068,North,Basic,99.9,2025-01-01,0,99.9
M100074,Downtown,Plus,139.9,2025-01-01,0,139.9
M100075,North,Plus,139.9,2025-01-01,0,139.9
M100080,South,Basic,99.9,2025-01-01,0,99.9
M100082,South,Plus,139.9,2025-01-01,0,139.9
M100084,North,Plus,139.9,2025-01-01,0,139.9
M100085,South,Basic,99.9,2025-01-01,0,99.9
M100086,North,Plus,139.9,2025-01-01,0,139.9
M100092,South,Basic,99.9,2025-01-01,0,99.9
M100098,North,Plus,139.9,2025-01-01,0,139.9
M100101,University,Basic,99.9,2025-01-01,0,99.9
M100102,University,Plus,139.9,2025-01-01,0,139.9
M100105,South,Premium,189.9,2025-01-01,0,189.9
M100106,Downtown,Plus,139.9,2025-01-01,0,139.9
M100107,Downtown,Basic,99.9,2025-01-01,0,99.9
M100115,West,Premium,189.9,2025-01-01,0,189.9
M100117,North,Plus,139.9,2025-01-01,0,139.9
M100121,University,Plus,139.9,2025-01-01,0,139.9
M100128,University,Basic,99.9,2025-01-01,0,99.9
M100129,North,Basic,99.9,2025-01-01,0,99.9
M100130,South,Premium,189.9,2025-01-01,0,189.9
M100131,South,Plus,139.9,2025-01-01,0,139.9
M100132,Downtown,Premium,189.9,2025-01-01,0,189.9
M100134,North,Premium,189.9,2025-01-01,0,189.9
M100138,West,Basic,99.9,2025-01-01,0,99.9
M100139,East,Basic,99.9,2025-01-01,1,0.0
M100140,University,Basic,99.9,2025-01-01,0,99.9
M100142,West,Plus,139.9,2025-01-01,0,139.9
M100143,West,Plus,139.9,2025-01-01,1,0.0
M100145,North,Basic,99.9,2025-01-01,0,99.9
M100147,North,Basic,99.9,2025-01-01,0,99.9
M100149,University,Premium,189.9,2025-01-01,1,0.0
M100150,University,Basic,99.9,2025-01-01,1,0.0
M100151,West,Plus,139.9,2025-01-01,0,139.9
M100154,West,Plus,139.9,2025-01-01,0,139.9
M100155,North,Plus,139.9,2025-01-01,0,139.9
M100165,North,Premium,189.9,2025-01-01,0,189.9
M100169,Downtown,Basic,99.9,2025-01-01,0,99.9
M100171,Downtown,Basic,99.9,2025-01-01,0,99.9
M100176,North,Premium,189.9,2025-01-01,0,189.9
M100179,North,Plus,139.9,2025-01-01,0,139.9
M100186,Downtown,Basic,99.9,2025-01-01,0,99.9
